Date,Open,High,Low,Close,Adj Close,Volume
2013-10-01,83.559998,84.300003,83.080002,83.760002,70.282654,3866000
2013-10-02,83.519997,84.250000,83.330002,84.070000,70.542793,3324900
2013-10-03,83.889999,84.269997,83.419998,83.970001,70.458885,4223500
2013-10-04,83.970001,84.349998,83.540001,84.199997,70.651871,3212000
2013-10-07,83.459999,84.160004,83.300003,83.529999,70.089676,3364300
2013-10-08,83.540001,83.889999,82.629997,82.849998,69.519066,5671300
2013-10-09,83.050003,83.889999,82.449997,83.519997,70.081276,4577500
2013-10-10,84.440002,84.949997,84.070000,84.730003,71.096596,4317100
2013-10-11,84.639999,85.849998,84.349998,85.610001,71.835007,4110300
2013-10-14,85.059998,86.419998,84.860001,86.239998,72.363617,4689600
2013-10-15,86.239998,86.750000,85.690002,85.750000,71.952461,4896500
2013-10-16,86.059998,86.489998,85.599998,86.269997,72.388809,3549500
2013-10-17,85.330002,85.989998,84.949997,85.849998,72.540886,3850700
2013-10-18,86.309998,87.760002,86.269997,87.339996,73.799904,6752700
2013-10-21,87.720001,87.800003,87.190002,87.699997,74.104095,3883500
2013-10-22,87.879997,89.169998,87.540001,89.169998,75.346191,9152900
2013-10-23,84.150002,84.650002,83.050003,83.760002,70.774895,20968800
2013-10-24,83.320000,85.000000,83.129997,84.529999,71.425522,8368700
2013-10-25,84.320000,84.779999,83.610001,84.769997,71.628311,4886400
2013-10-28,84.500000,84.730003,84.150002,84.279999,71.214279,3979200
2013-10-29,83.910004,84.099998,83.290001,84.070000,71.036850,5324100
2013-10-30,84.169998,84.349998,83.209999,83.489998,70.546753,4657000
2013-10-31,83.440002,84.269997,83.360001,83.360001,70.436913,4651300
2013-11-01,83.779999,83.800003,82.800003,83.589996,70.631264,5880200
2013-11-04,83.809998,83.989998,83.449997,83.889999,70.884735,3892500
2013-11-05,83.610001,84.190002,83.360001,84.050003,71.019943,4010900
2013-11-06,84.300003,84.360001,83.849998,84.220001,71.163597,3664100
2013-11-07,83.949997,84.430000,83.500000,83.650002,70.681946,5431600
2013-11-08,83.519997,84.320000,83.500000,84.239998,71.180489,4557300
2013-11-11,84.190002,84.470001,83.820000,84.150002,71.104431,2522500
2013-11-12,83.980003,84.279999,83.540001,83.849998,70.850967,3483000
2013-11-13,83.459999,84.250000,83.000000,84.199997,71.146690,3952800
2013-11-14,84.000000,84.199997,83.559998,83.760002,70.774895,4496300
2013-11-15,84.000000,84.110001,83.500000,83.739998,70.757996,4743900
2013-11-18,84.050003,84.970001,83.739998,84.040001,71.011490,4803100
2013-11-19,84.110001,84.500000,83.480003,83.669998,70.698845,5010300
2013-11-20,83.180000,83.709999,82.459999,82.680000,69.862343,7443000
2013-11-21,83.050003,83.089996,81.870003,82.120003,69.389153,6208500
2013-11-22,82.220001,82.949997,82.000000,82.879997,70.031319,4403800
2013-11-25,84.400002,84.940002,83.870003,84.400002,71.315674,8111400
2013-11-26,84.800003,84.830002,84.010002,84.360001,71.281868,3834900
2013-11-27,84.430000,84.930000,84.330002,84.669998,71.543808,3053600
2013-11-29,84.639999,85.180000,84.529999,84.599998,71.484680,2284400
2013-12-02,84.699997,85.089996,84.029999,84.250000,71.188934,4834700
2013-12-03,83.800003,83.949997,83.269997,83.870003,70.867844,3924300
2013-12-04,83.750000,84.379997,83.110001,83.970001,70.952332,5246700
2013-12-05,83.919998,84.580002,83.699997,84.410004,71.324142,5291900
2013-12-06,85.059998,85.580002,84.930000,85.500000,72.245148,5759300
2013-12-09,85.699997,86.529999,85.559998,86.089996,72.743675,6023400
2013-12-10,85.970001,86.870003,85.919998,86.419998,73.022522,4987000
2013-12-11,86.029999,86.220001,85.120003,85.279999,72.059258,5624100
2013-12-12,85.370003,85.699997,84.839996,85.570000,72.304283,4551700
2013-12-13,85.669998,86.230003,85.570000,86.050003,72.709877,4226200
2013-12-16,86.500000,87.849998,86.440002,87.379997,73.833694,6976200
2013-12-17,87.220001,87.650002,86.379997,86.919998,73.445015,4764400
2013-12-18,87.010002,88.459999,86.650002,88.169998,74.501244,6963200
2013-12-19,87.500000,87.839996,87.260002,87.540001,73.968903,4299700
2013-12-20,87.849998,89.110001,87.809998,88.930000,75.143394,7389700
2013-12-23,89.309998,90.070000,89.269997,89.959999,76.013733,5733300
2013-12-24,90.000000,90.980003,89.989998,90.910004,76.816460,2675700
2013-12-26,90.989998,91.669998,90.699997,91.150002,77.019241,4790800
2013-12-27,91.139999,91.430000,90.559998,90.870003,76.782654,3373800
2013-12-30,90.849998,91.029999,90.279999,90.870003,76.782654,2625000
2013-12-31,91.000000,91.180000,90.459999,90.809998,76.731949,3098900
2014-01-02,90.410004,90.449997,89.330002,89.870003,75.937668,4898000
2014-01-03,90.000000,90.250000,89.589996,89.820000,75.895439,3722000
2014-01-06,90.190002,90.300003,88.379997,88.639999,74.898376,5233900
2014-01-07,88.769997,89.230003,88.750000,88.930000,75.143394,3512100
2014-01-08,88.779999,89.820000,88.669998,89.139999,75.320847,4421600
2014-01-09,89.260002,89.800003,88.690002,89.709999,75.802490,4466400
2014-01-10,89.410004,90.599998,89.290001,90.510002,76.478470,5416000
2014-01-13,90.260002,91.260002,89.820000,89.889999,75.954582,5213600
2014-01-14,89.860001,90.709999,89.860001,90.559998,76.520699,3712100
2014-01-15,90.879997,93.199997,90.879997,92.410004,78.083908,10121900
2014-01-16,91.889999,92.860001,91.699997,92.010002,78.253990,4771000
2014-01-17,92.150002,92.260002,91.010002,91.440002,78.279671,6833400
2014-01-21,91.599998,91.849998,89.639999,90.599998,77.560577,5544900
2014-01-22,90.589996,90.820000,89.349998,89.639999,76.738739,4787300
2014-01-23,88.699997,89.080002,88.050003,88.480003,75.745712,5014800
2014-01-24,87.980003,87.989998,85.879997,86.169998,73.768150,8087400
2014-01-27,91.769997,92.309998,89.070000,91.290001,78.151283,22202300
2014-01-28,91.400002,92.669998,91.349998,92.470001,79.161453,9409600
2014-01-29,91.309998,91.959999,90.290001,90.620003,77.577705,8145900
2014-01-30,91.529999,93.849998,90.730003,93.199997,79.786377,14764700
2014-01-31,92.160004,94.690002,92.010002,93.910004,80.394196,9697300
2014-02-03,93.739998,93.940002,91.949997,92.419998,79.118645,9084100
2014-02-04,92.480003,92.650002,91.489998,92.500000,79.187126,6839700
2014-02-05,92.239998,92.510002,91.059998,91.959999,78.724831,5134500
2014-02-06,91.940002,94.230003,91.790001,93.830002,80.325722,6844200
2014-02-07,94.169998,95.239998,93.879997,94.870003,81.216034,9140200
2014-02-10,94.970001,94.980003,93.629997,94.500000,80.899292,5933400
2014-02-11,94.620003,95.339996,94.279999,94.959999,81.293083,6006100
2014-02-12,95.309998,96.639999,95.169998,96.169998,82.328926,8002000
2014-02-13,95.290001,96.410004,95.110001,96.110001,82.277573,4387000
2014-02-14,95.860001,96.680000,95.839996,96.550003,82.654251,4145300
2014-02-18,95.849998,96.940002,95.849998,96.559998,82.662796,4871700
2014-02-19,96.190002,97.669998,96.110001,96.209999,82.363182,5865200
2014-02-20,96.510002,97.519997,95.300003,96.919998,82.970993,7718400
2014-02-21,97.110001,97.949997,96.919998,97.500000,83.467506,5554600
2014-02-24,97.550003,98.239998,97.180000,97.320000,83.313431,4887800
2014-02-25,96.839996,96.980003,95.820000,96.410004,82.534393,5989200
