Date,Open,High,Low,Close,Adj Close,Volume
2013-10-01,38.459999,38.540001,38.040001,38.310001,32.920448,10393600
2013-10-02,38.160000,38.709999,38.150002,38.700001,33.255566,8296900
2013-10-03,38.610001,38.810001,38.250000,38.770000,33.315723,7980400
2013-10-04,38.799999,40.020000,38.520000,39.990002,34.364101,9530500
2013-10-07,39.410000,39.849998,39.119999,39.349998,33.814133,6096500
2013-10-08,39.279999,39.290001,38.490002,38.520000,33.100891,9766100
2013-10-09,38.630001,39.090000,38.080002,38.919998,33.444622,9557700
2013-10-10,39.439999,40.439999,39.430000,40.400002,34.716415,7769500
2013-10-11,40.520000,41.099998,40.209999,41.070000,35.292149,8041400
2013-10-14,40.689999,40.919998,40.369999,40.820000,35.077332,4870800
2013-10-15,40.779999,40.799999,40.320000,40.430000,34.742195,4669500
2013-10-16,40.730000,41.299999,40.500000,41.130001,35.343712,8072900
2013-10-17,41.090000,41.430000,40.959999,41.389999,35.567142,5865400
2013-10-18,41.549999,41.630001,41.189999,41.310001,35.498394,4905200
2013-10-21,41.189999,41.500000,41.009998,41.360001,35.541359,5758000
2013-10-22,41.439999,41.740002,41.389999,41.549999,35.704632,6760400
2013-10-23,41.299999,41.450001,40.919998,41.040001,35.266376,7340400
2013-10-24,40.180000,41.029999,39.139999,40.619999,34.905464,14153900
2013-10-25,40.389999,40.740002,39.020000,39.520000,33.960209,10921900
2013-10-28,39.610001,39.689999,39.060001,39.110001,33.607883,7958800
2013-10-29,39.380001,39.599998,39.169998,39.459999,33.908653,7078800
2013-10-30,39.619999,39.959999,38.930000,39.259998,33.736786,5909200
2013-10-31,39.349998,39.799999,39.200001,39.470001,33.917248,5314400
2013-11-01,39.570000,39.590000,38.840000,38.950001,33.470413,5187800
2013-11-04,39.090000,39.090000,38.160000,38.400002,32.997776,10933200
2013-11-05,38.320000,38.939999,38.250000,38.720001,33.272766,4507300
2013-11-06,38.849998,39.400002,38.849998,39.259998,33.736786,4966000
2013-11-07,39.380001,39.529999,38.580002,38.669998,33.229794,6741200
2013-11-08,38.650002,39.669998,38.650002,39.669998,34.089104,5452900
2013-11-11,39.410000,39.849998,39.220001,39.660000,34.080528,4900800
2013-11-12,39.599998,39.700001,39.230000,39.340000,33.805538,5273400
2013-11-13,39.169998,39.680000,39.080002,39.599998,34.028957,7273500
2013-11-14,39.810001,40.130001,39.700001,40.099998,34.458614,7512700
2013-11-15,40.169998,40.299999,40.040001,40.230000,34.570320,6434100
2013-11-18,40.160000,40.310001,39.790001,39.869999,34.260971,7041600
2013-11-19,39.900002,39.950001,39.509998,39.700001,34.114899,6016100
2013-11-20,39.759998,39.830002,39.110001,39.259998,33.736786,6556800
2013-11-21,39.400002,39.770000,39.389999,39.630001,34.054733,6275200
2013-11-22,39.520000,39.700001,39.509998,39.660000,34.080528,4610100
2013-11-25,39.709999,39.709999,38.919998,39.009998,33.521954,6086200
2013-11-26,39.029999,39.200001,38.599998,38.790001,33.332916,5887700
2013-11-27,38.880001,39.279999,38.840000,39.099998,33.599304,7141700
2013-11-29,39.320000,39.369999,38.919998,39.060001,33.564930,3094900
2013-12-02,39.380001,40.349998,39.320000,39.980000,34.355499,14320500
2013-12-03,39.810001,39.869999,38.459999,38.720001,33.272766,10892500
2013-12-04,38.580002,39.230000,38.580002,38.889999,33.418842,9832200
2013-12-05,38.830002,39.009998,38.419998,38.610001,33.178246,6928300
2013-12-06,39.110001,39.450001,38.990002,39.270000,33.745388,5974000
2013-12-09,39.290001,40.810001,39.270000,40.799999,35.060143,13952900
2013-12-10,40.610001,42.000000,40.520000,41.779999,35.902267,15417700
2013-12-11,41.869999,41.950001,40.950001,41.049999,35.274967,11718500
2013-12-12,40.950001,40.980000,40.259998,40.759998,35.025761,7022200
2013-12-13,40.970001,41.680000,40.680000,41.520000,35.678848,13448200
2013-12-16,41.619999,41.970001,41.270000,41.599998,35.747593,10935500
2013-12-17,41.590000,42.299999,41.580002,42.200001,36.263187,14160700
2013-12-18,42.290001,43.560001,42.250000,43.509998,37.388893,15458200
2013-12-19,43.150002,44.570000,43.060001,43.900002,37.724030,13246900
2013-12-20,43.959999,44.320000,43.610001,43.779999,37.620907,11715600
2013-12-23,44.040001,44.490002,43.869999,43.880001,37.706844,6182100
2013-12-24,44.000000,44.439999,43.939999,44.419998,38.170868,2765300
2013-12-26,44.580002,44.990002,44.340000,44.860001,38.548973,6526100
2013-12-27,44.500000,44.810001,44.430000,44.599998,38.600899,6081300
2013-12-30,44.400002,44.700001,44.320000,44.599998,38.600899,5971600
2013-12-31,44.630001,44.700001,44.250000,44.400002,38.427792,7920600
2014-01-02,44.200001,44.380001,43.759998,43.869999,37.969097,6494900
2014-01-03,44.029999,44.180000,43.619999,43.669998,37.795994,5593500
2014-01-06,43.799999,44.000000,43.279999,43.590000,37.726757,7373800
2014-01-07,43.759998,43.790001,42.770000,43.110001,37.311317,9947300
2014-01-08,43.110001,43.349998,42.830002,43.160000,37.354595,7588000
2014-01-09,43.349998,43.619999,42.580002,42.599998,36.869911,10495600
2014-01-10,42.520000,42.959999,42.470001,42.709999,36.965111,5728800
2014-01-13,42.470001,42.759998,41.820000,41.889999,36.255417,6486600
