Date,Open,High,Low,Close,Adj Close,Volume
2013-10-01,108.080002,108.480003,106.349998,107.379997,95.543915,4995300
2013-10-02,106.739998,106.760002,104.550003,104.980003,93.408447,5604500
2013-10-03,104.830002,104.980003,102.730003,103.690002,92.260651,4264800
2013-10-04,103.769997,104.620003,103.300003,104.269997,92.776695,2111500
2013-10-07,103.440002,104.750000,103.000000,104.029999,92.563148,2164100
2013-10-08,104.010002,104.480003,102.730003,102.760002,91.433151,2200500
2013-10-09,103.000000,103.389999,102.209999,102.839996,91.504349,3548600
2013-10-10,104.370003,105.919998,103.980003,105.919998,94.244835,3419500
2013-10-11,105.680000,107.029999,105.370003,107.010002,95.214699,3201600
2013-10-14,106.029999,107.070000,105.680000,106.900002,95.116829,2435300
2013-10-15,106.820000,106.910004,105.769997,105.800003,94.138069,2710200
2013-10-16,106.510002,107.139999,105.970001,106.430000,94.698624,3246200
2013-10-17,105.980003,108.160004,105.980003,108.019997,96.113365,2069500
2013-10-18,108.080002,108.440002,107.059998,107.739998,95.864227,2708200
2013-10-21,107.900002,107.940002,106.949997,107.620003,95.757469,2958000
2013-10-22,107.620003,108.559998,105.070000,106.129997,94.431702,5832200
2013-10-23,106.199997,106.919998,105.660004,106.389999,94.663040,3399000
2013-10-24,107.349998,107.489998,106.209999,107.059998,95.259186,2654700
2013-10-25,106.910004,107.529999,106.529999,107.519997,95.668472,2732500
2013-10-28,107.089996,107.239998,105.910004,105.989998,94.307129,3284200
2013-10-29,106.019997,106.449997,105.760002,106.419998,94.689735,2246500
2013-10-30,106.589996,107.230003,105.680000,105.949997,94.271515,2031400
2013-10-31,105.900002,107.239998,105.730003,106.250000,94.538460,2963800
2013-11-01,106.449997,107.730003,106.410004,107.510002,95.659569,2511000
2013-11-04,108.309998,108.440002,107.480003,107.980003,96.077774,2293700
2013-11-05,107.589996,108.260002,106.709999,107.680000,95.810837,2289600
2013-11-06,108.230003,108.980003,108.099998,108.669998,96.691719,3150300
2013-11-07,108.779999,109.269997,107.089996,107.269997,95.446037,2536000
2013-11-08,107.010002,108.589996,106.790001,108.550003,96.584946,2950900
2013-11-11,108.540001,108.599998,107.779999,108.080002,96.166748,2409700
2013-11-12,107.889999,107.970001,107.150002,107.449997,95.606194,3004400
2013-11-13,106.550003,107.540001,106.019997,107.459999,96.142990,2797600
2013-11-14,108.500000,108.970001,107.480003,108.690002,97.243469,2561000
2013-11-15,108.820000,109.000000,108.190002,108.589996,97.153992,2974400
2013-11-18,108.599998,109.910004,108.599998,109.129997,97.637131,2415200
2013-11-19,108.919998,109.489998,108.800003,109.099998,97.610283,1877700
2013-11-20,109.300003,109.669998,108.599998,108.830002,97.368713,2239900
2013-11-21,109.120003,109.849998,108.989998,109.769997,98.209724,1964100
2013-11-22,109.739998,110.330002,109.230003,110.199997,98.594437,2467300
2013-11-25,110.949997,110.989998,110.089996,110.309998,98.692856,2155100
2013-11-26,110.410004,111.500000,110.250000,110.940002,99.256508,2825900
2013-11-27,111.230003,111.900002,111.080002,111.510002,99.766472,1770500
2013-11-29,111.300003,111.610001,110.699997,110.860001,99.184937,1301000
2013-12-02,111.169998,111.400002,110.110001,110.309998,98.692856,2091300
2013-12-03,109.919998,110.529999,109.260002,109.690002,98.138145,3294200
2013-12-04,109.339996,109.559998,107.989998,108.940002,97.467133,2511000
2013-12-05,108.089996,109.580002,108.089996,109.050003,97.565552,2024000
2013-12-06,110.239998,111.199997,110.070000,111.120003,99.417564,2456500
2013-12-09,111.050003,111.550003,110.709999,111.180000,99.471237,2803000
2013-12-10,110.669998,111.610001,110.089996,110.980003,99.292297,2809600
2013-12-11,111.080002,111.199997,108.650002,108.660004,97.216614,3455900
2013-12-12,108.500000,108.930000,107.360001,108.089996,96.706650,3652100
2013-12-13,106.160004,107.889999,105.900002,107.349998,96.044601,4519600
2013-12-16,107.809998,109.120003,107.500000,108.529999,97.100304,3276700
2013-12-17,108.989998,109.129997,107.379997,107.620003,96.286163,3451700
2013-12-18,108.000000,109.849998,106.949997,109.809998,98.245499,3715800
2013-12-19,109.629997,109.989998,109.190002,109.500000,97.968155,2927400
2013-12-20,109.220001,111.129997,109.070000,110.660004,99.005981,4618000
2013-12-23,111.419998,111.470001,110.570000,110.820000,99.149139,1967500
2013-12-24,110.800003,111.599998,110.680000,111.470001,99.730682,747900
2013-12-26,111.610001,112.760002,111.559998,112.690002,100.822212,2449400
